State,Vendor Name
Alabama,ALABAMA DEPARTMENT OF REVENUE
Arizona,Arizona Department of Revenue
California,Franchise Tax Board
Connecticut,Connecticut Deptartment of Revenue
Florida,Florida Dept of Revenue
Georgia,GEORGIA DEPARTMENT OF REVENUE
Idaho,IDAHO STATE TAX COMMISSION
Illinois,Illinois Dept of Revenue
Indiana,Indiana Department Of Revenue
Iowa,Iowa Department of Revenue
Kentucky,Kentucky Department of Revenue
Louisiana,Louisiana Department of Revenue
Maryland,Maryland Department of Revenue
Massachusetts,MASSACHUSETTS DEPARTMENT OF REVENUE
Minnesota,Minnesota Dept of Revenue
Missouri,MISSOURI DEPARTMENT OF REVENUE TAXATION DIVISION
Montana,MONTANA DEPARTMENT OF REVENUE
Nebraska,Nebraska Department of Revenue
New Hampshire,State Of New Hampshire Dept of Revenue Administration
New Jersey,New Jersey Division of Taxation
New York,New York State Deptartment of Taxation and Finance
North Carolina,North Carolina Dept of Revenue
Ohio,Ohio Department of Taxation
Oklahoma,"Oklahoma Tax Commission, Franchise Tax"
Oregon,Oregon Dept of Revenue
Pennsylvania,Pennsylvania Department of Revenue
Rhode Island,Rhode Island Division of Taxation
South Carolina,South Carolina Department of Revenue
Tennessee,Tennessee Department of Revenue
Texas,Texas State Comptroller
Utah,UTAH STATE TAX COMMISSION
Washington,Washington Department of Revenue
Washington D.C.,DC Office of Tax and Revenue
Wisconsin,Wisconsin Department of Revenue
